gioitinh,khoa,hedt,khoahoc,xl_tt,khuvuc_1.0,khuvuc_2.0,khuvuc_3.0,khuvuc_4.0,khuvuc_5.0,khuvuc_6.0,khuvuc_7.0,xl_av,sotchk,hocky_sx,xl_drl,sotchk_truoc,xl_drl_truoc,xlhk_truoc
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,20,5,4.0,19.0,4.0,3
1.0,HTTT, CQUI,9.0,2.0,0,0,0,1,0,0,0,0.0,7,9,2.0,3.0,4.0,1
1.0,CNPM, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,17,1,5.0,0.0,0.0,0
1.0,CNPM, CQUI,9.0,4.0,0,0,1,0,0,0,0,0.0,17,1,3.0,0.0,0.0,0
1.0,HTTT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,4,5,4.0,20.0,4.0,3
1.0,CNPM, CQUI,8.0,3.0,0,0,0,1,0,0,0,0.0,23,6,4.0,21.0,3.0,3
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,0,0,1,0,0.0,22,2,2.0,13.0,4.0,2
0.0,KTTT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,10,7,5.0,15.0,5.0,4
1.0,MMT&TT, CQUI,9.0,4.0,0,0,0,0,0,1,0,0.0,3,3,4.0,24.0,2.0,2
1.0,HTTT, CLC,12.0,2.0,0,0,1,0,0,0,0,1.0,20,4,4.0,20.0,4.0,3
1.0,KTTT, CQUI,12.0,3.0,0,0,0,0,0,1,0,1.0,15,4,3.0,20.0,3.0,3
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,0,0,1,0,0.0,17,1,2.0,0.0,0.0,0
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,18,1,5.0,0.0,0.0,0
0.0,MMT&TT, CQUI,8.0,2.0,0,0,0,0,0,0,1,0.0,10,9,3.0,5.0,3.0,4
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,20,4,4.0,24.0,4.0,4
1.0,KTMT, CQUI,8.0,2.0,0,0,0,0,1,0,0,0.0,23,7,3.0,7.0,4.0,2
1.0,MMT&TT, CLC,12.0,2.0,0,0,1,0,0,0,0,1.0,22,2,5.0,18.0,5.0,4
1.0,MMT&TT, CQUI,8.0,4.0,0,0,0,0,0,1,0,0.0,22,1,4.0,0.0,0.0,0
1.0,MMT&TT, CQUI,13.0,1.0,0,0,1,0,0,0,0,2.0,20,4,2.0,17.0,3.0,1
1.0,KTMT, CQUI,9.0,3.0,0,0,1,0,0,0,0,0.0,19,5,1.0,10.0,4.0,1
1.0,KTTT, CQUI,13.0,1.0,0,0,1,0,0,0,0,1.0,17,2,4.0,15.0,4.0,3
0.0,HTTT, CLC,10.0,1.0,0,0,1,0,0,0,0,0.0,7,5,4.0,20.0,0.0,2
1.0,KHMT, CQUI,11.0,1.0,0,0,0,0,0,0,1,0.0,23,4,5.0,20.0,5.0,3
1.0,HTTT, CQUI,9.0,3.0,0,0,1,0,0,0,0,0.0,17,7,3.0,23.0,3.0,2
0.0,KTTT, CQUI,12.0,3.0,0,0,0,1,0,0,0,1.0,21,3,4.0,22.0,3.0,3
0.0,HTTT, CQUI,14.0,2.0,0,0,0,1,0,0,0,0.0,19,5,5.0,20.0,5.0,4
1.0,MMT&TT, KSTN,10.0,3.0,0,0,0,0,0,1,0,0.0,15,2,3.0,19.0,5.0,4
1.0,MMT&TT, CQUI,12.0,4.0,0,0,1,0,0,0,0,4.0,3,5,4.0,24.0,3.0,3
1.0,CNPM, CLC,9.0,3.0,0,0,0,0,0,1,0,0.0,17,8,2.0,17.0,3.0,2
1.0,MMT&TT, CLC,12.0,1.0,0,0,0,0,0,1,0,3.0,20,1,3.0,0.0,0.0,0
0.0,KHMT, CQUI,8.0,4.0,0,0,0,1,0,0,0,0.0,19,2,4.0,22.0,4.0,2
1.0,HTTT, CTTT,10.0,1.0,0,0,0,0,0,1,0,0.0,10,9,2.0,7.0,4.0,3
1.0,HTTT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,21,4,2.0,21.0,2.0,2
1.0,CNPM, CQUI,13.0,2.0,0,0,1,0,0,0,0,3.0,10,8,4.0,21.0,5.0,4
1.0,KTMT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,22,1,4.0,0.0,0.0,0
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,20,1,4.0,0.0,0.0,0
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,16,1,5.0,0.0,0.0,0
1.0,KHMT, CQUI,9.0,3.0,0,0,0,0,0,0,1,0.0,4,14,4.0,3.0,4.0,2
1.0,CNPM, CQUI,8.0,3.0,0,0,0,1,0,0,0,0.0,3,13,4.0,8.0,3.0,1
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,17,5,4.0,20.0,5.0,3
1.0,HTTT, CLC,9.0,2.0,0,0,0,1,0,0,0,0.0,10,9,3.0,7.0,4.0,4
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,0,0,0,1,0.0,15,7,5.0,3.0,4.0,5
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,10,12,3.0,9.0,2.0,0
1.0,KHMT, CQUI,13.0,2.0,0,0,0,0,0,1,0,1.0,23,4,3.0,22.0,4.0,3
1.0,KTMT, CQUI,9.0,3.0,0,0,1,0,0,0,0,0.0,13,1,5.0,0.0,0.0,0
1.0,CNPM, CQUI,8.0,4.0,0,0,0,0,0,1,0,0.0,22,1,4.0,0.0,0.0,0
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,1,0,0,0,0.0,21,3,4.0,19.0,3.0,3
1.0,HTTT, CQUI,12.0,3.0,0,0,0,0,0,1,0,2.0,3,3,4.0,17.0,5.0,2
1.0,CNPM, CLC,10.0,2.0,0,0,0,0,0,1,0,0.0,17,4,3.0,17.0,3.0,4
1.0,KTMT, CLC,13.0,0.0,0,0,0,0,0,1,0,5.0,19,4,3.0,23.0,4.0,2
0.0,KHMT, CQUI,9.0,3.0,0,0,0,1,0,0,0,0.0,10,8,4.0,18.0,5.0,4
1.0,HTTT, CQUI,11.0,1.0,0,0,1,0,0,0,0,0.0,23,7,4.0,7.0,4.0,3
1.0,CNPM, CLC,12.0,2.0,0,0,0,0,0,1,0,2.0,22,2,3.0,20.0,3.0,1
1.0,KTTT, CLC,14.0,1.0,0,0,0,1,0,0,0,0.0,19,7,2.0,4.0,4.0,4
1.0,MMT&TT, KSTN,14.0,3.0,0,0,1,0,0,0,0,0.0,16,1,5.0,0.0,0.0,0
1.0,HTTT, CQUI,13.0,2.0,0,0,1,0,0,0,0,1.0,25,4,5.0,19.0,5.0,3
1.0,KTMT, CQUI,11.0,2.0,0,0,1,0,0,0,0,0.0,23,3,3.0,17.0,3.0,3
1.0,CNPM, CQUI,10.0,2.0,0,0,0,1,0,0,0,0.0,21,2,3.0,13.0,4.0,4
1.0,CNPM, CLC,14.0,2.0,0,0,0,0,0,0,1,3.0,17,7,3.0,18.0,3.0,2
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,22,6,4.0,17.0,3.0,3
0.0,MMT&TT, CLC,12.0,1.0,0,0,0,0,0,1,0,1.0,20,3,3.0,22.0,3.0,3
1.0,HTTT, CQUI,9.0,3.0,0,0,1,0,0,0,0,0.0,21,7,4.0,22.0,4.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,0.0,14,5,3.0,4.0,4.0,3
1.0,HTTT, CTTT,13.0,0.0,0,0,1,0,0,0,0,2.0,16,6,5.0,20.0,5.0,4
0.0,MMT&TT, CQUI,12.0,4.0,0,0,0,0,0,1,0,1.0,14,6,5.0,15.0,5.0,3
1.0,HTTT, CQUI,8.0,2.0,0,0,0,0,0,0,1,0.0,4,5,4.0,20.0,5.0,2
1.0,KTMT, CQUI,12.0,2.0,0,0,1,0,0,0,0,1.0,17,5,4.0,21.0,5.0,3
1.0,KTMT, CLC,13.0,1.0,0,0,0,0,0,1,0,1.0,17,1,4.0,0.0,0.0,0
1.0,MMT&TT, CQUI,10.0,2.0,0,0,1,0,0,0,0,0.0,3,9,3.0,20.0,3.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,4.0,20,2,5.0,14.0,5.0,3
0.0,KTTT, CQUI,14.0,3.0,0,0,0,0,0,0,1,0.0,22,3,4.0,21.0,5.0,3
1.0,KTMT, CLC,11.0,1.0,0,0,0,0,0,1,0,0.0,17,4,3.0,19.0,4.0,2
1.0,KTMT, CLC,12.0,1.0,0,0,1,0,0,0,0,1.0,19,8,4.0,22.0,3.0,3
0.0,KTTT, CQUI,14.0,2.0,0,0,0,0,0,0,1,0.0,16,5,5.0,18.0,5.0,4
1.0,CNPM, CLC,14.0,2.0,0,0,0,1,0,0,0,0.0,14,2,3.0,17.0,4.0,2
1.0,HTTT, CQUI,12.0,3.0,0,0,0,0,0,1,0,1.0,23,7,4.0,11.0,5.0,3
1.0,KHMT, CQUI,9.0,4.0,0,0,0,0,0,1,0,0.0,14,7,3.0,16.0,2.0,2
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,20,4,5.0,18.0,5.0,5
1.0,CNPM, CLC,10.0,2.0,0,0,0,0,0,1,0,0.0,17,2,2.0,19.0,3.0,2
0.0,KHMT, CQUI,14.0,3.0,0,0,1,0,0,0,0,2.0,17,1,5.0,0.0,0.0,0
1.0,KTMT, CQUI,12.0,3.0,0,0,0,0,0,1,0,0.0,13,8,3.0,23.0,3.0,2
1.0,KTTT, CLC,14.0,4.0,0,0,1,0,0,0,0,0.0,18,1,5.0,0.0,0.0,0
0.0,HTTT, CQUI,11.0,2.0,0,0,0,1,0,0,0,0.0,17,1,3.0,0.0,0.0,0
0.0,KTTT, CLC,14.0,1.0,0,0,0,0,0,1,0,0.0,17,5,5.0,19.0,5.0,3
1.0,KTMT, CLC,10.0,1.0,0,0,0,1,0,0,0,0.0,17,4,3.0,21.0,3.0,4
1.0,HTTT, CTTT,14.0,0.0,0,0,0,1,0,0,0,0.0,3,8,4.0,18.0,3.0,2
1.0,KTTT, CQUI,11.0,2.0,0,0,1,0,0,0,0,0.0,20,5,5.0,24.0,5.0,3
1.0,MMT&TT, CQUI,11.0,1.0,0,0,0,0,0,1,0,0.0,20,6,4.0,14.0,4.0,3
1.0,KTMT, CQUI,10.0,2.0,0,0,1,0,0,0,0,0.0,21,4,3.0,18.0,3.0,3
0.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,0,1,0.0,14,7,5.0,22.0,5.0,3
1.0,KTTT, CQUI,13.0,2.0,0,0,0,0,0,0,1,2.0,12,6,5.0,18.0,5.0,4
1.0,CNPM, CQUI,11.0,4.0,0,0,0,0,0,0,1,0.0,21,2,4.0,17.0,3.0,3
0.0,HTTT, CQUI,12.0,2.0,0,0,0,0,0,1,0,3.0,19,1,3.0,0.0,0.0,0
1.0,KTTT, CQUI,11.0,2.0,0,0,0,1,0,0,0,0.0,17,6,3.0,12.0,3.0,3
1.0,KHMT, CLC,14.0,4.0,0,0,0,0,0,1,0,0.0,16,2,5.0,15.0,5.0,4
1.0,HTTT, CLC,14.0,2.0,0,0,0,0,0,1,0,0.0,19,7,3.0,23.0,3.0,2
1.0,MMT&TT, CQUI,12.0,3.0,0,0,0,0,0,0,1,2.0,20,3,4.0,19.0,4.0,3
1.0,KTTT, CQUI,10.0,2.0,0,0,1,0,0,0,0,0.0,15,8,3.0,22.0,3.0,1
0.0,KHMT, CLC,14.0,2.0,0,0,0,1,0,0,0,0.0,19,2,5.0,15.0,5.0,3
1.0,CNPM, CLC,12.0,2.0,0,0,0,1,0,0,0,3.0,3,10,3.0,16.0,5.0,3
1.0,CNPM, CQUI,14.0,4.0,0,0,0,0,0,1,0,3.0,19,2,5.0,21.0,5.0,5
1.0,MMT&TT, CLC,14.0,2.0,0,0,0,1,0,0,0,0.0,19,2,4.0,16.0,5.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,3.0,17,2,5.0,20.0,4.0,4
1.0,CNPM, CQUI,8.0,4.0,0,0,0,0,0,1,0,0.0,19,2,4.0,22.0,4.0,2
1.0,HTTT, CQUI,9.0,3.0,0,0,0,0,0,1,0,0.0,22,3,4.0,20.0,3.0,3
1.0,KTMT, CQUI,11.0,1.0,0,0,0,0,0,0,1,1.0,19,5,4.0,4.0,4.0,4
1.0,KTMT, CLC,13.0,0.0,0,0,0,0,1,0,0,1.0,12,8,4.0,14.0,4.0,2
0.0,HTTT, CQUI,12.0,3.0,0,0,0,0,0,0,1,1.0,19,5,5.0,24.0,4.0,3
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,20,2,5.0,18.0,5.0,3
1.0,CNPM, CQUI,10.0,3.0,0,0,0,0,0,0,1,0.0,19,8,4.0,18.0,4.0,3
1.0,KTMT, CQUI,9.0,2.0,0,0,0,0,0,1,0,0.0,21,4,4.0,25.0,5.0,3
1.0,MMT&TT, CQUI,9.0,4.0,0,0,0,0,0,0,1,0.0,4,5,4.0,22.0,3.0,3
1.0,KTMT, CLC,10.0,1.0,0,0,0,0,0,1,0,0.0,15,2,0.0,15.0,1.0,2
1.0,MMT&TT, CQUI,8.0,3.0,0,0,0,1,0,0,0,0.0,22,1,3.0,0.0,0.0,0
1.0,MMT&TT, CQUI,11.0,1.0,0,0,0,0,0,0,1,0.0,23,6,4.0,21.0,3.0,3
1.0,CNPM, CQUI,12.0,4.0,0,0,1,0,0,0,0,1.0,4,7,4.0,20.0,4.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,5.0,19,2,5.0,16.0,5.0,4
1.0,KHMT, CNTN,14.0,4.0,0,0,0,0,0,1,0,0.0,24,4,5.0,26.0,5.0,4
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,2.0,20,5,3.0,19.0,3.0,3
1.0,HTTT, CLC,13.0,0.0,0,0,0,0,1,0,0,0.0,18,2,5.0,15.0,5.0,4
1.0,CNPM, CQUI,10.0,2.0,0,0,0,0,0,1,0,0.0,21,2,4.0,17.0,5.0,4
1.0,HTTT, CQUI,12.0,3.0,0,0,0,0,0,1,0,2.0,18,8,3.0,18.0,5.0,3
1.0,MMT&TT, CLC,13.0,1.0,0,0,0,0,0,0,1,0.0,5,6,3.0,17.0,3.0,2
1.0,CNPM, CLC,13.0,2.0,0,0,1,0,0,0,0,5.0,2,9,3.0,22.0,5.0,2
1.0,KHMT, CLC,14.0,3.0,0,0,0,0,0,1,0,0.0,15,1,5.0,0.0,0.0,0
1.0,CNPM, CQUI,8.0,4.0,0,0,0,0,0,0,1,0.0,21,7,1.0,10.0,4.0,4
1.0,KHMT, CQUI,11.0,2.0,0,0,0,0,0,0,1,1.0,19,2,3.0,17.0,4.0,4
0.0,MMT&TT, CLC,13.0,0.0,0,0,0,0,0,1,0,1.0,16,1,5.0,0.0,0.0,0
1.0,CNPM, CQUI,11.0,3.0,0,0,1,0,0,0,0,1.0,8,8,3.0,17.0,4.0,4
1.0,KTMT, CLC,12.0,2.0,0,0,1,0,0,0,0,2.0,17,1,3.0,0.0,0.0,0
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,2.0,16,3,5.0,16.0,4.0,2
1.0,CNPM, CQUI,8.0,3.0,0,0,0,0,0,0,1,0.0,21,2,4.0,18.0,4.0,1
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,4.0,18,1,5.0,0.0,0.0,0
1.0,KHMT, CLC,14.0,4.0,0,0,0,0,0,0,1,0.0,10,7,5.0,16.0,5.0,4
1.0,KHMT, CQUI,9.0,4.0,0,0,0,0,0,0,1,0.0,24,3,3.0,3.0,4.0,3
1.0,MMT&TT, CQUI,12.0,3.0,0,0,1,0,0,0,0,2.0,6,9,4.0,12.0,4.0,3
1.0,KTMT, CQUI,11.0,1.0,0,0,0,1,0,0,0,0.0,22,4,5.0,18.0,5.0,3
0.0,HTTT, CQUI,9.0,3.0,0,0,0,0,0,0,1,0.0,20,7,3.0,23.0,3.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,0.0,14,1,5.0,0.0,0.0,0
0.0,HTTT, CQUI,14.0,2.0,0,0,1,0,0,0,0,0.0,13,7,5.0,21.0,5.0,4
1.0,HTTT, CLC,11.0,2.0,0,0,0,0,0,1,0,1.0,3,5,4.0,19.0,5.0,2
0.0,MMT&TT, CQUI,13.0,4.0,0,0,1,0,0,0,0,2.0,14,8,5.0,10.0,5.0,4
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,20,3,3.0,21.0,3.0,3
1.0,KHMT, CQUI,9.0,2.0,0,0,0,0,0,0,1,0.0,30,2,3.0,17.0,3.0,3
1.0,CNPM, CLC,12.0,2.0,0,0,0,1,0,0,0,1.0,18,3,3.0,19.0,5.0,2
1.0,MMT&TT, CQUI,8.0,4.0,0,0,1,0,0,0,0,0.0,23,3,5.0,18.0,5.0,4
0.0,HTTT, CQUI,13.0,4.0,0,0,0,0,0,1,0,2.0,22,7,5.0,22.0,5.0,3
1.0,KTMT, CLC,11.0,1.0,0,0,0,0,0,1,0,1.0,15,5,2.0,17.0,2.0,2
0.0,KTTT, CLC,14.0,1.0,0,0,0,0,0,1,0,0.0,23,3,3.0,23.0,3.0,3
1.0,KTMT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,21,9,3.0,13.0,2.0,3
1.0,CNPM, CQUI,9.0,4.0,0,0,0,0,0,0,1,0.0,15,6,5.0,18.0,3.0,4
1.0,MMT&TT, CLC,12.0,2.0,0,0,0,0,0,0,1,1.0,16,9,5.0,14.0,3.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,13,4,5.0,22.0,5.0,3
1.0,MMT&TT, CQUI,13.0,1.0,0,0,0,0,0,0,1,1.0,20,5,3.0,22.0,4.0,3
1.0,KTTT, CQUI,12.0,3.0,0,0,0,1,0,0,0,1.0,20,3,5.0,22.0,5.0,4
1.0,KTMT, CQUI,8.0,2.0,0,0,0,0,1,0,0,0.0,23,9,3.0,14.0,3.0,2
1.0,HTTT, CLC,14.0,1.0,0,0,0,1,0,0,0,0.0,17,2,3.0,15.0,5.0,3
1.0,CNPM, CLC,10.0,2.0,0,0,0,0,0,1,0,0.0,13,9,3.0,17.0,3.0,2
1.0,CNPM, CQUI,10.0,2.0,0,0,0,1,0,0,0,0.0,19,7,3.0,14.0,3.0,2
1.0,HTTT, CQUI,14.0,2.0,0,0,1,0,0,0,0,1.0,22,4,3.0,24.0,4.0,3
1.0,CNPM, CQUI,9.0,4.0,0,0,1,0,0,0,0,0.0,17,7,5.0,15.0,5.0,3
1.0,KTMT, CLC,12.0,2.0,0,0,0,0,0,1,0,1.0,16,6,3.0,20.0,3.0,2
1.0,CNPM, CQUI,14.0,3.0,0,0,0,0,0,1,0,5.0,20,4,5.0,20.0,5.0,4
1.0,KTTT, CLC,14.0,1.0,0,0,0,0,0,0,1,0.0,25,2,4.0,18.0,5.0,3
1.0,KHMT, CQUI,8.0,3.0,0,0,0,0,0,1,0,0.0,19,2,5.0,22.0,3.0,2
1.0,MMT&TT, CQUI,12.0,3.0,0,0,0,1,0,0,0,2.0,23,4,3.0,24.0,4.0,2
1.0,HTTT, CLC,10.0,2.0,0,0,0,1,0,0,0,0.0,7,5,4.0,21.0,3.0,2
1.0,KTTT, CLC,14.0,2.0,0,0,0,0,0,1,0,0.0,23,2,3.0,18.0,5.0,2
1.0,KHMT, CQUI,14.0,2.0,0,0,1,0,0,0,0,0.0,22,3,5.0,24.0,5.0,3
0.0,HTTT, CLC,14.0,2.0,0,0,1,0,0,0,0,0.0,20,4,5.0,22.0,5.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,22,2,3.0,15.0,4.0,3
1.0,KTMT, CLC,9.0,3.0,0,0,0,0,0,1,0,0.0,15,6,2.0,16.0,2.0,3
1.0,CNPM, CQUI,10.0,2.0,0,0,1,0,0,0,0,0.0,19,6,5.0,14.0,5.0,4
1.0,KTMT, CQUI,8.0,2.0,0,0,0,0,0,0,1,0.0,3,3,4.0,18.0,3.0,1
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,24,4,4.0,21.0,5.0,3
1.0,KTTT, CQUI,10.0,2.0,0,0,0,0,0,1,0,0.0,19,7,3.0,18.0,3.0,3
1.0,MMT&TT, CQUI,9.0,4.0,0,0,0,1,0,0,0,0.0,17,1,3.0,0.0,0.0,0
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,19,2,4.0,18.0,4.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,19,1,4.0,0.0,0.0,0
0.0,KHMT, CQUI,8.0,4.0,0,0,0,0,0,1,0,0.0,18,4,1.0,27.0,3.0,2
1.0,MMT&TT, CLC,14.0,1.0,0,0,0,0,0,0,1,0.0,19,3,5.0,21.0,5.0,3
1.0,HTTT, CLC,14.0,1.0,0,0,0,1,0,0,0,0.0,18,4,4.0,21.0,3.0,3
0.0,KTTT, CQUI,13.0,2.0,0,0,0,0,0,1,0,0.0,19,4,5.0,18.0,5.0,4
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,17,2,5.0,18.0,5.0,2
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,1.0,17,4,4.0,20.0,5.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,5.0,14,1,5.0,0.0,0.0,0
1.0,KHMT, CNTN,13.0,2.0,0,0,0,1,0,0,0,5.0,15,6,5.0,18.0,5.0,5
1.0,HTTT, CTTT,13.0,0.0,0,0,1,0,0,0,0,1.0,8,3,4.0,12.0,3.0,3
1.0,MMT&TT, CQUI,13.0,2.0,0,0,0,0,0,1,0,3.0,21,3,5.0,20.0,3.0,4
1.0,HTTT, CQUI,11.0,1.0,0,0,0,0,1,0,0,1.0,8,7,4.0,19.0,4.0,2
1.0,MMT&TT, CQUI,13.0,2.0,0,0,0,0,0,1,0,1.0,16,1,4.0,0.0,0.0,0
1.0,KHMT, CQUI,14.0,2.0,0,0,0,0,0,0,1,0.0,10,7,3.0,19.0,5.0,3
0.0,HTTT, CQUI,13.0,1.0,0,0,0,1,0,0,0,1.0,18,6,4.0,19.0,4.0,3
1.0,HTTT, CQUI,13.0,2.0,0,0,0,0,0,1,0,1.0,20,6,4.0,20.0,5.0,3
1.0,CNPM, CLC,11.0,2.0,0,0,0,0,0,1,0,0.0,24,9,3.0,0.0,4.0,0
1.0,KTMT, CQUI,12.0,3.0,0,0,0,0,0,1,0,2.0,21,1,4.0,0.0,0.0,0
0.0,HTTT, CLC,11.0,1.0,0,0,0,1,0,0,0,0.0,4,8,5.0,21.0,5.0,4
1.0,KTMT, CLC,14.0,2.0,0,0,0,0,0,1,0,3.0,22,4,4.0,20.0,5.0,3
1.0,HTTT, CQUI,9.0,3.0,0,0,0,0,0,0,1,0.0,19,4,1.0,24.0,4.0,3
1.0,MMT&TT, CLC,13.0,1.0,0,0,0,0,0,1,0,1.0,16,2,2.0,16.0,3.0,1
1.0,CNPM, CLC,14.0,2.0,0,0,1,0,0,0,0,0.0,20,5,4.0,16.0,3.0,3
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,0,0,1,0,0.0,18,2,2.0,17.0,3.0,2
1.0,KTMT, CQUI,11.0,2.0,0,0,0,0,0,1,0,0.0,17,8,3.0,13.0,4.0,3
1.0,HTTT, CTTT,9.0,3.0,0,0,0,0,0,1,0,0.0,7,5,4.0,14.0,2.0,2
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,1,0,0,0,0.0,17,6,3.0,15.0,2.0,3
0.0,MMT&TT, CQUI,8.0,3.0,0,0,1,0,0,0,0,0.0,15,7,2.0,15.0,5.0,3
0.0,MMT&TT, KSTN,8.0,4.0,0,0,0,0,0,1,0,0.0,22,1,5.0,0.0,0.0,0
0.0,KTTT, CLC,14.0,2.0,0,1,0,0,0,0,0,0.0,22,3,4.0,25.0,5.0,3
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,1,0,0,0,0.0,4,11,2.0,9.0,3.0,1
1.0,HTTT, CQUI,8.0,3.0,0,0,1,0,0,0,0,0.0,23,3,2.0,21.0,3.0,1
1.0,MMT&TT, CLC,13.0,2.0,0,0,1,0,0,0,0,1.0,20,6,5.0,17.0,5.0,3
1.0,CNPM, CQUI,8.0,4.0,0,0,0,0,0,1,0,0.0,15,6,3.0,17.0,4.0,2
1.0,KHMT, CQUI,11.0,2.0,0,0,0,1,0,0,0,0.0,4,7,4.0,18.0,4.0,3
0.0,KTTT, CLC,14.0,1.0,0,0,0,0,0,1,0,0.0,17,5,4.0,19.0,4.0,3
1.0,KTMT, CLC,13.0,0.0,0,0,0,1,0,0,0,0.0,16,9,2.0,22.0,2.0,2
1.0,CNPM, CQUI,14.0,3.0,0,0,0,1,0,0,0,1.0,10,6,2.0,16.0,3.0,1
1.0,MMT&TT, CLC,13.0,1.0,0,0,0,1,0,0,0,1.0,22,6,5.0,22.0,5.0,3
1.0,CNPM, CLC,14.0,2.0,0,0,0,0,0,1,0,0.0,16,3,4.0,17.0,5.0,4
1.0,HTTT, CQUI,11.0,2.0,0,0,0,0,0,0,1,1.0,21,5,5.0,19.0,4.0,4
1.0,HTTT, CQUI,8.0,2.0,0,0,0,0,0,1,0,0.0,26,5,4.0,22.0,4.0,3
1.0,HTTT, CLC,13.0,4.0,0,0,0,1,0,0,0,5.0,19,2,3.0,19.0,5.0,3
0.0,MMT&TT, CQUI,8.0,2.0,0,0,1,0,0,0,0,0.0,18,6,3.0,15.0,4.0,4
1.0,HTTT, CLC,11.0,1.0,0,0,0,0,0,1,0,1.0,8,7,4.0,11.0,4.0,2
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,3.0,23,3,5.0,19.0,5.0,4
1.0,MMT&TT, CQUI,10.0,2.0,0,0,0,1,0,0,0,0.0,18,4,4.0,21.0,3.0,4
1.0,MMT&TT, CLC,13.0,1.0,0,0,1,0,0,0,0,3.0,14,7,5.0,15.0,5.0,4
1.0,KTMT, CLC,11.0,1.0,0,0,0,0,0,1,0,0.0,18,3,5.0,21.0,5.0,2
1.0,HTTT, CQUI,10.0,2.0,0,0,0,0,0,0,1,0.0,17,7,4.0,4.0,4.0,0
1.0,KTTT, CQUI,13.0,2.0,0,0,0,0,0,0,1,4.0,16,3,5.0,17.0,5.0,3
1.0,CNPM, CLC,13.0,2.0,0,0,1,0,0,0,0,4.0,21,1,4.0,0.0,0.0,0
1.0,MMT&TT, CQUI,8.0,4.0,0,0,1,0,0,0,0,0.0,19,4,3.0,23.0,3.0,2
1.0,HTTT, CTTT,12.0,2.0,0,0,1,0,0,0,0,0.0,20,9,5.0,13.0,4.0,2
1.0,MMT&TT, CQUI,14.0,2.0,0,0,0,0,0,1,0,0.0,17,3,5.0,17.0,5.0,2
1.0,CNPM, CQUI,10.0,4.0,0,0,0,0,0,1,0,0.0,17,2,3.0,17.0,4.0,3
1.0,MMT&TT, CQUI,14.0,2.0,0,0,1,0,0,0,0,0.0,17,3,5.0,19.0,3.0,3
1.0,MMT&TT, CQUI,9.0,3.0,0,0,0,0,0,1,0,0.0,24,11,3.0,4.0,4.0,4
1.0,KHMT, CQUI,8.0,2.0,0,0,1,0,0,0,0,0.0,3,3,4.0,19.0,4.0,3
